date,ticker,action,price,shares,pnl,reason
2026-04-10,MRNA,BUY,51.279998779296875,183,0,entry_signal
2026-04-10,AMAT,BUY,397.80999755859375,26,0,entry_signal
2026-04-10,BKR,BUY,63.41999816894531,237,0,entry_signal
2026-04-10,GFS,BUY,48.70000076293945,202,0,entry_signal
2026-04-10,EXC,BUY,49.439998626708984,505,0,entry_signal
2026-04-20,EXC,SELL,47.02000045776367,505,-1222.0990753173828,stop_loss
2026-04-22,FANG,BUY,189.8000030517578,62,0,entry_signal
2026-04-22,FAST,BUY,45.70000076293945,371,0,entry_signal
2026-04-23,FAST,SELL,44.810001373291016,371,-330.1897735595703,weekly_ema_break
2026-04-27,AEP,BUY,134.72999572753906,191,0,entry_signal
2026-04-28,MRNA,SELL,48.70000076293945,183,-472.1396369934082,stop_loss
2026-04-28,LIN,BUY,510.75,49,0,entry_signal
